epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,14153.2,1.32486,0.53866,0.81543,0.98314,0.98022,0.9931,0.68531,1.01389,0.44594,0.8228,0.0015644,0.0015644,0.0015644
68,14356.7,1.269,0.52645,0.80697,0.99185,0.96639,0.99442,0.67324,0.96437,0.43077,0.81385,0.0015578,0.0015578,0.0015578
69,14571,1.33052,0.54329,0.82315,0.99145,0.97463,0.99368,0.69376,0.98163,0.45095,0.81831,0.0015512,0.0015512,0.0015512
70,14786.5,1.33907,0.54446,0.80919,0.99324,0.94958,0.99354,0.68584,1.07738,0.47697,0.82427,0.0015446,0.0015446,0.0015446
71,15000.5,1.28381,0.5486,0.78975,0.9783,0.95798,0.9926,0.68271,0.95383,0.45248,0.81615,0.001538,0.001538,0.001538
72,15217.2,1.2655,0.51907,0.80018,0.99411,0.96639,0.99269,0.69691,1.04247,0.47738,0.81742,0.0015314,0.0015314,0.0015314
73,15412.6,1.33347,0.5683,0.79684,0.98288,0.96472,0.98214,0.62953,1.1576,0.49193,0.82926,0.0015248,0.0015248,0.0015248
74,15632.7,1.354,0.55442,0.81276,0.98049,0.97479,0.99391,0.68766,0.96461,0.46762,0.81847,0.0015182,0.0015182,0.0015182
75,15861.6,1.25719,0.52023,0.79633,0.99144,0.97346,0.98821,0.68387,0.93301,0.41897,0.81433,0.0015116,0.0015116,0.0015116
76,16076.8,1.32272,0.53928,0.80224,0.96987,0.96639,0.98125,0.68443,0.93144,0.43921,0.81382,0.001505,0.001505,0.001505
77,16293.9,1.30735,0.53095,0.81036,0.99133,0.96053,0.98887,0.69677,0.95866,0.44888,0.81247,0.0014984,0.0014984,0.0014984
78,16535.7,1.29858,0.54468,0.81552,0.985,0.94958,0.9906,0.67489,0.97664,0.53079,0.81297,0.0014918,0.0014918,0.0014918
79,16752.5,1.28347,0.52946,0.80496,0.98545,0.94958,0.99237,0.67088,0.98832,0.47517,0.81499,0.0014852,0.0014852,0.0014852
80,16992.8,1.29664,0.52903,0.8046,0.98271,0.95547,0.99211,0.6718,0.93736,0.4273,0.81603,0.0014786,0.0014786,0.0014786
81,17191.1,1.29504,0.52325,0.81075,0.99873,0.95798,0.99185,0.68728,0.96571,0.42446,0.81392,0.001472,0.001472,0.001472
82,17411.5,1.234,0.51806,0.80647,0.98318,0.9824,0.9933,0.70732,0.95983,0.44267,0.81916,0.0014654,0.0014654,0.0014654
83,17623.3,1.29224,0.52206,0.81082,1,0.96491,0.99356,0.68619,0.96045,0.44122,0.82094,0.0014588,0.0014588,0.0014588
84,17869.1,1.29281,0.5321,0.78306,0.99011,0.97479,0.99467,0.67614,1.0187,0.45426,0.81848,0.0014522,0.0014522,0.0014522
85,18113,1.27918,0.53435,0.8104,0.9914,0.96921,0.99419,0.68631,0.9548,0.4285,0.81535,0.0014456,0.0014456,0.0014456
86,18351.8,1.29951,0.54009,0.80927,0.98096,0.9916,0.9945,0.66732,0.98129,0.4572,0.81497,0.001439,0.001439,0.001439
87,18600,1.28174,0.60052,0.80217,0.99145,0.97448,0.99315,0.69502,0.93981,0.4448,0.81766,0.0014324,0.0014324,0.0014324
88,18836.4,1.25958,0.52517,0.80427,0.98314,0.97979,0.99418,0.68536,1.00908,0.45262,0.82233,0.0014258,0.0014258,0.0014258
