epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1420.27,1.29397,0.53783,0.79965,0.9829,0.96577,0.98826,0.69388,0.91317,0.46103,0.81714,0.001571,0.001571,0.001571
67,1441.71,1.2977,0.52777,0.81178,0.9914,0.96849,0.98848,0.68512,1.0793,0.44223,0.82328,0.0015644,0.0015644,0.0015644
68,1463.11,1.25257,0.52427,0.80316,0.98272,0.95558,0.99311,0.68127,1.03491,0.44679,0.82158,0.0015578,0.0015578,0.0015578
69,1484.69,1.32695,0.55349,0.82375,0.98658,0.96639,0.99396,0.69266,0.8902,0.43496,0.80757,0.0015512,0.0015512,0.0015512
70,1505.89,1.29654,0.55218,0.80509,0.98281,0.96091,0.99319,0.68568,1.06525,0.44144,0.82066,0.0015446,0.0015446,0.0015446
71,1527.32,1.28422,0.54627,0.78754,0.98291,0.96688,0.99329,0.69199,0.88704,0.44207,0.81274,0.001538,0.001538,0.001538
72,1548.7,1.24477,0.50855,0.79814,1,0.95752,0.99401,0.6833,0.9512,0.43449,0.81441,0.0015314,0.0015314,0.0015314
73,1570.22,1.34357,0.56666,0.79792,1,0.98277,0.99444,0.65825,1.19134,0.51396,0.83272,0.0015248,0.0015248,0.0015248
74,1591.55,1.30948,0.53548,0.8101,0.9744,0.95975,0.99215,0.68924,0.93534,0.44691,0.81031,0.0015182,0.0015182,0.0015182
75,1612.95,1.25234,0.55225,0.79811,0.97956,0.96639,0.98039,0.68011,0.98367,0.42073,0.82031,0.0015116,0.0015116,0.0015116
76,1634.16,1.35341,0.54434,0.80388,0.98971,0.94958,0.98758,0.67017,1.01434,0.43602,0.82148,0.001505,0.001505,0.001505
77,1655.56,1.30614,0.52375,0.80527,1,0.95907,0.99327,0.70291,0.93703,0.43959,0.80933,0.0014984,0.0014984,0.0014984
78,1676.87,1.28795,0.54153,0.81217,0.96198,0.95798,0.99046,0.67185,0.93783,0.47144,0.81375,0.0014918,0.0014918,0.0014918
79,1698.18,1.27609,0.53508,0.80236,1,0.95744,0.99216,0.68624,1.00197,0.42693,0.81786,0.0014852,0.0014852,0.0014852
80,1719.62,1.26668,0.52536,0.80106,1,0.94912,0.99263,0.6888,0.94982,0.42092,0.81087,0.0014786,0.0014786,0.0014786
81,1741.04,1.29088,0.53029,0.80879,0.9958,0.94958,0.98626,0.6756,0.98143,0.41907,0.8115,0.001472,0.001472,0.001472
82,1762.32,1.22669,0.51694,0.80627,0.99335,0.94958,0.99251,0.6963,0.98091,0.4361,0.81967,0.0014654,0.0014654,0.0014654
83,1783.76,1.27641,0.51261,0.80792,0.98637,0.94958,0.99128,0.69649,0.89209,0.40653,0.81124,0.0014588,0.0014588,0.0014588
84,1805.07,1.26466,0.53673,0.77978,0.99123,0.94926,0.99273,0.68253,0.97762,0.45207,0.81662,0.0014522,0.0014522,0.0014522
85,1827.32,1.27706,0.53122,0.8083,0.98017,0.97479,0.99331,0.68987,0.95222,0.43287,0.81462,0.0014456,0.0014456,0.0014456
86,1849.3,1.28606,0.52999,0.80672,0.97913,0.95798,0.99275,0.68646,0.90868,0.42341,0.81247,0.001439,0.001439,0.001439
87,1871.48,1.25649,0.59989,0.79952,0.99137,0.96557,0.99123,0.69113,0.92623,0.44177,0.81407,0.0014324,0.0014324,0.0014324
88,1893.61,1.26965,0.53301,0.80397,0.98741,0.96639,0.99201,0.69622,0.93143,0.44147,0.81331,0.0014258,0.0014258,0.0014258
89,1915.78,1.29977,0.51671,0.80008,1,0.97089,0.99419,0.66106,1.0561,0.4416,0.8152,0.0014192,0.0014192,0.0014192
90,1938.15,1.22931,0.52211,0.80445,0.99143,0.97165,0.99401,0.68554,0.94051,0.43903,0.81266,0.0014126,0.0014126,0.0014126
91,1961.18,1.20535,0.52037,0.80967,0.99136,0.96379,0.98831,0.69066,1.02251,0.43227,0.82044,0.001406,0.001406,0.001406
92,1983.25,1.28773,0.50405,0.80319,0.96675,0.97738,0.99215,0.69536,0.94631,0.42621,0.8119,0.0013994,0.0013994,0.0013994
93,2004.87,1.25885,0.51537,0.80375,1,0.9653,0.99253,0.70644,1.00935,0.43469,0.81842,0.0013928,0.0013928,0.0013928
94,2026.4,1.23657,0.51798,0.80548,0.98315,0.98086,0.99381,0.70698,0.88619,0.40795,0.80951,0.0013862,0.0013862,0.0013862
95,2047.73,1.2075,0.49324,0.8024,0.97417,0.97479,0.99333,0.69397,0.84927,0.43295,0.80601,0.0013796,0.0013796,0.0013796
96,2069.45,1.23977,0.51754,0.80722,0.9999,0.95798,0.99377,0.69924,0.94348,0.43737,0.81771,0.001373,0.001373,0.001373
97,2090.86,1.23628,0.51881,0.80381,0.9914,0.96885,0.99427,0.69034,0.91412,0.42522,0.80399,0.0013664,0.0013664,0.0013664
98,2112.22,1.28762,0.51255,0.80611,0.9901,0.97479,0.99319,0.70776,0.90468,0.42209,0.80715,0.0013598,0.0013598,0.0013598
99,2133.69,1.22525,0.50589,0.80343,0.99138,0.96646,0.99419,0.66721,0.92892,0.41985,0.81784,0.0013532,0.0013532,0.0013532
100,2155,1.27981,0.52978,0.8074,0.97479,0.97479,0.99347,0.69703,1.07362,0.43699,0.82412,0.0013466,0.0013466,0.0013466
101,2176.27,1.21795,0.50773,0.81391,0.99327,0.96639,0.99395,0.69858,0.96319,0.47832,0.8103,0.00134,0.00134,0.00134
102,2197.77,1.20094,0.52139,0.80414,0.99138,0.96686,0.99404,0.7076,0.88297,0.40996,0.81082,0.0013334,0.0013334,0.0013334
103,2219.08,1.25832,0.51094,0.79387,0.99129,0.95645,0.99364,0.68651,0.86058,0.41548,0.80714,0.0013268,0.0013268,0.0013268
104,2240.43,1.24126,0.52999,0.78986,0.98309,0.97704,0.99368,0.67469,0.90341,0.42915,0.81337,0.0013202,0.0013202,0.0013202
